lat,lon,month,day_of_year,ndvi,ndwi,ndbi,nbr,no2,so2,co,o3,temperature,dewpoint,wind_speed,rainfall,lst,temp_diff,pollution_index,green_inverse,aqi,heat_score,flood_score,veg_score
19.07,72.87,7,212,0.5462634318175416,0.4054905088322305,0.6192196107463984,0.39358895677345496,0.02919907653742065,0.025572949674600283,0.3748215981569397,0.04507839473094552,27.0,23.080747311130125,26.6,9.9,29.20595635909052,3.919252688869875,0.42959362436896065,0.45373656818245844,0.20405645148548446,12.066080060664895,40.07452544161153,46.75456404628506
19.07,72.87,6,175,0.29657275988061044,0.12866498099245008,0.4606475297669821,0.2440120121856743,0.030783492506440083,0.014529335089100459,0.3026987315462509,0.022783554466857304,27.15,23.0429002206672,17.7,20.7,27.315732826774582,4.107099779332799,0.34801155914179144,0.7034272401193895,0.2531335746076112,17.47901234928388,47.8332490496225,24.777035744347558
28.61,77.2,5,140,0.6269254558924905,0.5636436020778227,0.5462317638607441,0.16108259549367418,0.027445952269456207,0.025345908489462228,1.057841349429888,0.05527738566195292,32.4,27.041893873771755,24.1,0.0,34.97606328912638,5.358106126228243,1.1106332101888063,0.3730745441075095,0.49937208897659435,13.347372948570634,28.182180103891135,59.470893679375564
19.07,72.87,12,357,0.4228093793952865,0.3910716543716458,0.6882389896886014,0.22824531873316772,0.01824305257311095,0.022607220690510448,0.384511746822799,0.03402994640817319,26.8,22.438570640213783,18.4,0.0,29.010737097273253,4.361429359786218,0.4253620200864204,0.5771906206047135,0.2707625855938984,16.301329644209396,19.55358271858229,37.7160315648653
26.85,80.95,12,361,0.4232478723575501,0.24968570912608715,0.6883023107088104,0.3603821854967002,0.01508075203895958,0.019378205282840302,0.48591865749092283,0.030277027274053396,16.799999999999997,14.460433100586396,9.7,0.0,17.73695818393704,2.339566899413601,0.5203776148127227,0.5767521276424499,0.5811268218878216,7.906674391542708,12.484285456304358,35.11714352582101
28.61,77.2,4,108,0.7806077802675536,0.596170367478761,0.5386128013512158,0.39116465766599334,0.023845836775588717,0.03281390069846786,0.6329226192298935,0.03206143436113494,32.3,27.67638383397794,23.5,0.0,33.713639316271916,4.623616166022057,0.6895823567039501,0.21939221973244638,0.3362747200035714,8.231986400367123,29.808518373938046,70.23748487343549
26.85,80.95,7,203,0.6321654051269101,0.27172992378406446,0.24429334597311836,0.3906193561239434,0.023149125266454722,0.043946041621819844,0.9252443636029815,0.04849184495639846,31.65,29.32825990702509,22.9,2.1,33.692180755880685,2.3217400929749097,0.992339530491256,0.3678345948730899,0.4800475916928069,9.410625532688087,17.786496189203223,55.404153390212144
26.85,80.95,10,294,0.21708466391907646,0.38390064222851394,0.6617685303120642,0.3091901021725726,0.045977797555430105,0.02986413887507433,1.1607583186065187,0.06887341951170914,24.5,20.903719070257264,8.8,0.0,24.962318723522927,3.5962809297427363,1.2366002550370232,0.7829153360809236,1.522949937772492,19.843841002605224,19.195032111425697,15.524664348456193
28.61,77.2,3,76,0.26518386478263284,0.3668966774983785,0.4411679620948835,0.29500258187547534,0.0560207610257619,0.04486852473007511,0.4543376256309672,0.037732826413268084,24.0,20.555090953623726,16.7,1.7,26.830578414728343,3.4449090463762744,0.5552269113868042,0.7348161352173672,0.4570378657477879,16.505337201888352,21.744833874918925,20.61833484075378
26.85,80.95,6,167,0.49997552644840415,0.4045374574416989,0.34353993572576985,0.12043167308638396,0.06314901001348984,0.036675678122945234,0.7706673488376777,0.06735688806578509,36.6,31.43315189495338,28.6,0.0,39.567858828127086,5.166848105046622,0.8704920369741128,0.5000244735515958,0.3818848853562563,18.606491212243704,20.226872872084943,47.588919183112736
